Surname,Credit Score,Geography,Gender,Age,Tenure,Balance,Number Of Products,Has Cr Card,Is Active Member,Estimated Salary,Exited
Mao,530,Germany,Male,33,9,75242.28,1,no,yes,101694.67,no
Horsley,509,Spain,Male,29,1,0,2,yes,no,69113.14,no
Goddard,517,France,Female,45,4,0,1,no,no,172674.36,yes
Eskridge,758,Germany,Male,33,0,129142.54,2,yes,yes,26606.28,no
Smith,665,France,Male,51,2,0,1,no,no,53353.36,no
Simpson,631,Germany,Female,22,6,139129.92,1,yes,yes,63747.51,no
Oguejiofor,576,Spain,Male,33,3,0,2,no,yes,190112.05,no
Holloway,544,Spain,Male,22,3,66483.32,1,no,yes,110317.39,no
L?,596,Germany,Male,40,5,62389.03,3,yes,no,148623.43,yes
Feng,481,France,Female,34,5,0,2,yes,yes,125253.46,no
Claiborne,498,France,Male,46,1,91857.66,1,yes,no,101954.78,yes
Egobudike,512,Spain,Male,31,6,0,2,yes,no,168462.26,no
Folliero,594,France,Female,56,7,0,1,yes,no,26215.85,yes
Bray,570,France,Female,30,10,176173.52,1,yes,no,97045.32,yes
Ibrahimov,721,Spain,Male,38,7,0,1,no,yes,53534.8,no
Carpenter,453,France,Female,37,4,131834.76,2,yes,no,8949.2,no
Walsh,562,France,Male,48,3,92347.96,1,yes,yes,163116.75,no
Woods,682,France,Male,40,4,0,2,yes,yes,140745.91,no
Wu,748,France,Male,40,3,95297.11,1,no,no,171515.84,no
Forbes,729,France,Female,32,9,0,2,no,no,150803.44,no
Lynch,663,France,Male,39,4,0,1,yes,no,76884.05,no
Amaechi,735,France,Female,53,8,123845.36,2,no,yes,170454.93,yes
Enriquez,627,Germany,Male,62,3,143426.34,2,yes,yes,143104.3,no
Y?an,713,France,Male,46,5,0,1,yes,yes,55701.62,no
Brooks,562,Germany,Male,31,2,112708.2,1,no,yes,186370.3,no
Wang,632,France,Male,43,2,100013.51,1,yes,no,24275.32,no
Burke,479,France,Female,33,2,208165.53,1,no,no,50774.81,yes
Meng,658,Spain,Male,21,7,0,2,no,yes,154279.87,no
Chiganu,598,France,Female,40,9,0,1,yes,no,68462.59,yes
Hunt,597,France,Male,19,2,0,2,yes,yes,91036.74,no
Lucchese,512,France,Female,33,6,121685.31,2,yes,yes,83681.97,no
Humphries,704,France,Male,39,2,111525.02,1,yes,no,199484.96,no
Frolova,474,France,Male,26,6,0,2,no,no,152491.22,no
Hsing,604,Germany,Male,36,10,113546.3,1,yes,yes,134875.37,no
Parkes,683,France,Male,41,6,95696.52,2,yes,yes,184366.14,no
Gregory,537,France,Male,28,0,88963.31,2,yes,yes,189839.93,no
Obiuto,794,Spain,Male,31,0,144880.34,2,no,yes,175643.44,no
Longo,732,France,Male,55,9,136576.02,1,no,yes,3268.17,yes
Lombardo,495,France,Female,38,2,63093.01,1,yes,yes,47089.72,no
Lombardo,552,Germany,Male,38,10,132271.12,2,yes,yes,46562.02,no
Gonzalez,602,France,Female,29,3,88814.4,2,yes,yes,62487.97,no
Nwabugwu,607,Germany,Male,40,5,90594.55,1,no,yes,181598.25,no
Ford,675,Germany,Female,33,0,141816.25,1,yes,no,64815.05,yes
Gilleland,443,France,Female,54,3,138547.97,1,yes,yes,70196.23,yes
Fullwood,727,France,Female,31,2,52192.08,2,no,yes,160383.47,no
Kao,482,France,Male,38,4,124976.19,1,yes,no,35848.12,no
Montalvo,686,France,Female,34,1,0,2,yes,no,87278.48,no
Wilson,588,Germany,Male,35,3,104356.38,1,yes,no,94498.82,no
Doyne,605,Spain,Female,48,10,150315.92,1,no,yes,133486.36,no
Onwuamaeze,583,France,Male,39,1,129299.28,2,yes,no,73107.6,no
K'ung,738,Germany,Male,37,7,140950.92,2,yes,no,195333.98,no
O'Donnell,744,Spain,Male,30,1,128065.12,1,yes,no,121525.48,no
McMillan,781,France,Male,23,2,107433.48,1,yes,no,173843.21,no
Chinedum,699,France,Male,34,2,117468.67,1,yes,no,185227.42,no
Capon,639,France,Female,27,2,0,2,no,no,125244.18,no
Rawling,583,France,Female,27,4,0,3,yes,no,163113.41,no
Duncan,587,France,Male,42,1,0,1,no,no,123006.91,no
Trevisani,694,France,Male,40,9,0,2,yes,no,40463.03,no
Ankudinova,570,France,Female,29,4,153040.03,1,yes,yes,131363.57,yes
Balsillie,692,Germany,Male,45,6,142084.04,4,yes,no,188305.85,yes
Kerr,511,France,Female,30,5,0,2,yes,no,143994.86,no
Worsnop,788,France,Male,32,4,112079.58,1,no,no,89368.59,no
Yevseyev,526,Spain,Male,66,7,132044.6,2,yes,yes,158365.89,no
Manna,749,Spain,Female,46,9,66582.81,1,yes,no,78753.12,yes
Siciliani,691,France,Female,33,6,0,2,yes,yes,100408.31,no
Powell,481,France,Female,39,6,0,1,yes,yes,24677.54,no
Bazarova,752,France,Male,33,4,0,2,yes,yes,39570.78,no
White,658,France,Female,38,6,102895.1,1,no,no,155665.76,no
Buda,679,Spain,Male,42,2,0,1,yes,yes,168294.27,no
Cattaneo,754,Germany,Male,27,7,117578.35,2,no,yes,87908.01,no
Lo,679,France,Male,47,10,198546.1,2,yes,no,191198.92,yes
Brown,633,Spain,Female,39,2,0,2,no,no,191207.03,no
Rose,674,France,Female,31,1,0,1,yes,no,128954.05,no
Lombardo,600,Germany,Male,28,2,116623.31,1,no,yes,59905.29,no
McMillan,645,Spain,Male,49,8,0,2,yes,no,162012.6,no
Howe,698,France,Male,36,6,0,2,no,yes,19231.98,no
Hsu,508,Spain,Male,54,10,0,1,yes,yes,175749.36,no
Han,555,France,Female,44,3,105770.7,3,yes,no,60533.96,yes
Calabrese,751,France,Female,48,9,0,1,yes,no,137508.42,yes
Riley,738,France,Female,39,1,94435.45,2,no,yes,189430.86,no
Biryukov,706,Germany,Female,39,8,112889.91,1,no,yes,6723.66,no
Broadhurst,595,France,Female,53,7,0,2,yes,no,41371.68,yes
Genovesi,577,Germany,Female,43,3,127940.47,1,no,no,125140.72,yes
Hsieh,578,Germany,Female,36,8,129745.1,1,yes,yes,143683.75,no
Kemp,699,France,Male,32,3,0,2,yes,yes,170770.44,no
Chukwudi,826,France,Female,30,5,0,2,no,yes,157397.57,no
Iqbal,656,Germany,Female,46,7,141535.52,1,yes,no,50595.15,yes
Teng,556,France,Female,47,2,139914.27,1,yes,yes,50390.98,no
Tao,569,France,Male,41,4,120243.49,1,yes,no,163150.03,yes
Chinedum,765,France,Male,34,9,91835.16,1,no,no,138280.17,no
Stevenson,544,Spain,Male,37,2,0,2,no,no,135067.02,no
Duncan,588,Spain,Female,22,9,67178.19,1,yes,yes,163534.75,yes
Garrett,740,Spain,Female,31,8,0,2,no,no,86657.48,no
Yao,850,Spain,Male,38,7,115378.94,1,no,yes,162087.82,no
He,766,Germany,Male,30,4,127786.28,2,yes,yes,28879.3,no
Mazzi,849,France,Female,41,6,0,2,yes,yes,169203.51,yes
Edwards,612,France,Female,33,0,64900.32,2,yes,no,102426.12,no
Lucchesi,517,Germany,Male,53,0,109172.88,1,yes,no,54676.1,yes
Siciliani,645,France,Female,55,7,0,2,yes,yes,18369.33,no
Shih,696,Germany,Male,43,4,114091.38,1,no,yes,159888.1,no
Logue,716,France,Female,40,3,0,2,no,yes,167636.15,no
Rechner,590,France,Male,32,9,0,2,yes,no,138889.15,no
O'Brien,656,France,Female,45,7,145933.27,1,yes,yes,199392.14,no
Stewart,473,Germany,Female,35,7,131504.73,1,yes,no,189560.43,no
Batt,742,Germany,Female,44,8,107926.02,1,no,yes,17375.27,yes
Hope,834,Germany,Female,57,8,112281.6,3,yes,no,140225.14,yes
Ahmed,721,France,Male,41,7,0,2,no,yes,61018.85,no
Pearson,590,Spain,Male,29,10,0,1,yes,yes,51907.72,yes
Kruglov,516,Spain,Female,31,7,0,1,yes,no,47018.75,no
Gordon,850,France,Male,33,0,124781.67,1,no,yes,33700.52,no
Trujillo,748,France,Female,39,9,132865.56,1,yes,yes,59636.43,yes
Pagnotto,798,Germany,Female,38,4,129055.13,1,yes,no,157147.59,no
Horton,612,Germany,Male,76,6,96166.88,1,yes,yes,191393.26,no
DeRose,540,France,Female,40,3,165298.12,1,no,yes,199862.75,no
Chiang,719,Spain,Female,33,7,0,2,yes,no,20016.59,no
Gill,598,France,Male,48,6,120682.53,1,yes,no,30635.52,yes
Trevisano,796,Spain,Male,32,5,102773.15,2,no,yes,117832.88,no
Morrison,579,Germany,Male,42,0,144386.32,1,yes,yes,22497.1,yes
Onuora,850,Germany,Female,40,7,104449.8,1,yes,yes,747.88,no
Ikenna,599,Spain,Male,35,6,137102.65,1,no,no,76870.81,no
Mancini,724,France,Female,30,9,142475.87,1,yes,yes,107848.24,no
Moss,508,France,Female,43,9,0,1,yes,no,103726.71,no
Ting,773,Spain,Male,37,2,103195.2,2,yes,no,178268.36,no
Tai,526,France,Male,28,1,112070.44,1,no,yes,126281.83,no
Pan,542,France,Female,29,7,0,2,no,yes,196651.72,no
Wilson,470,France,Male,35,1,96473.59,1,no,no,5962.3,no
Bianchi,805,Spain,Male,37,5,0,2,yes,no,21928.81,no
Holman,548,Germany,Male,49,9,108437.89,1,no,no,127022.87,yes
Obidimkpa,672,France,Male,37,5,153195.59,1,yes,yes,162763.01,no
Wallace,773,France,Male,45,8,96877.21,1,yes,yes,113950.51,no
Ash,614,France,Male,44,6,0,2,no,yes,104930.46,no
Ku,537,France,Female,38,10,0,1,no,no,52337.97,yes
Uspensky,704,France,Female,40,6,95452.89,1,no,yes,179964.55,no
Shih,586,Spain,Male,41,3,63873.56,1,yes,no,83753.64,no
Kumm,677,France,Female,24,0,148298.59,2,no,no,182913.95,no
Carey,558,Spain,Female,31,7,0,2,yes,no,166720.28,no
Farber,634,Germany,Female,37,7,143258.85,2,yes,no,192721.98,no
Calabrese,655,Germany,Male,37,9,121342.24,1,yes,yes,180241.44,no
Findlay,619,Germany,Female,28,6,99152.73,2,yes,no,48475.12,no
Yu,662,France,Female,41,4,0,2,yes,no,126551.48,no
Edments,705,Spain,Male,33,7,68423.89,1,yes,yes,64872.55,no
Brown,527,Spain,Female,35,8,0,1,yes,no,98031.53,yes
Lindon,630,Germany,Female,25,7,79656.81,1,yes,no,93524.22,no
Chukwudi,850,France,Male,35,2,0,2,yes,yes,56991.66,no
Caldwell,668,France,Female,53,10,110240.04,1,no,no,183980.56,yes
Li Fonti,573,France,Female,32,9,125321.84,2,yes,yes,130234.63,no
Pitcher,680,France,Male,27,3,0,1,yes,no,32454.26,no
Capon,758,France,Female,32,2,84378.9,1,yes,yes,75396.43,no
Kable,597,France,Male,45,7,0,2,no,no,167756.45,no
Lo Duca,580,Germany,Male,35,10,136281.41,2,yes,yes,24799.47,no
Kulikova,622,France,Male,59,5,119380.37,1,yes,yes,60429.43,no
Navarrete,638,Germany,Male,62,4,108716.59,2,yes,yes,74241.09,no
Huguley,640,France,Female,20,4,0,2,no,yes,78310.82,no
Han,644,Spain,Male,28,0,0,2,yes,no,119419.37,no
Horsley,753,France,Female,31,6,106596.29,1,no,no,91305.77,no
Massie,629,France,Female,37,10,99546.25,3,no,yes,25136.95,yes
Singh,775,France,Female,30,5,0,1,yes,no,193880.6,yes
H?,701,France,Female,41,2,0,1,yes,no,47856.78,no
Doyle,708,Spain,Male,19,7,112615.86,1,yes,yes,4491.77,no
Grant,521,Spain,Female,22,10,0,1,yes,yes,101311.95,no
Law,636,France,Female,24,9,0,2,no,yes,38830.72,no
King,529,France,Female,31,5,0,2,yes,no,26817.23,no
Onwubiko,757,France,Male,28,3,75381.15,1,yes,yes,199727.72,no
Romano,767,Spain,Female,24,5,0,2,yes,yes,67445.85,no
Okwudilichukwu,525,Spain,Male,33,5,0,2,yes,no,161002.29,no
Milano,759,Spain,Male,38,1,0,2,yes,no,20778.39,no
Parker,520,Germany,Female,45,1,123086.39,1,yes,yes,41042.4,yes
Aitken,738,France,Female,26,3,0,2,yes,no,67484.16,no
Obiora,548,Spain,Male,37,4,0,1,yes,no,121763.68,no
Vasilyeva,535,Spain,Male,48,9,109472.47,1,yes,no,157358.43,yes
Chiabuotu,615,Spain,Male,59,4,155766.05,1,yes,yes,110275.17,no
Slater,850,Germany,Male,38,7,101985.81,2,no,no,43801.27,no
Hughes,487,France,Female,34,2,96019.5,1,no,no,9085,no
Menkens,731,France,Male,30,7,0,2,no,yes,143086.09,no
Pisani,726,Spain,Female,35,9,0,2,no,yes,100556.98,no
Y?an,609,France,Female,35,2,147900.43,1,yes,no,140000.29,no
Milani,714,France,Male,52,4,100755.66,1,yes,yes,186775.25,no
Chin,694,Spain,Female,35,7,0,1,yes,no,133570.43,yes
Fu,786,France,Female,33,0,83036.05,1,no,yes,154990.58,yes
Howells,698,Spain,Male,27,6,125427.37,2,no,no,27654.44,no
Ni,601,France,Female,46,3,98202.76,1,no,no,137763.93,no
Maslova,769,Spain,Male,41,1,72509.91,1,yes,no,25723.73,no
Forster,850,Germany,Male,44,3,140393.65,2,no,yes,186285.52,no
Sun,646,Spain,Female,50,5,142644.64,2,yes,yes,142208.5,yes
Bocharova,659,France,Female,44,9,23503.31,1,no,yes,169862.01,yes
Y?an,487,Spain,Male,33,8,145729.71,1,yes,no,41365.85,no
Singh,740,Germany,Female,40,2,122295.17,2,yes,yes,30812.84,no
Nkemakonam,686,France,Male,39,4,0,2,yes,no,155023.93,no
Chiemenam,612,Spain,Female,36,5,119799.27,2,yes,no,159416.58,no
Angelo,655,Spain,Male,37,8,163708.58,2,no,no,76259.23,no
Frolov,617,France,Male,34,1,61687.33,2,yes,no,105965.25,no
West,674,France,Female,27,4,79144.34,1,no,yes,50743.83,no
Beatham,711,Spain,Male,32,5,0,2,yes,yes,147720.27,no
Pollard,624,Germany,Female,27,7,104848.68,1,yes,yes,167387.36,no
Hsing,597,Spain,Male,26,5,0,2,no,yes,95159.13,no
Dowse,682,Spain,Male,46,4,0,1,yes,yes,4654.28,no
Lucciano,775,France,Male,45,8,0,1,yes,no,130376.68,no
Godfrey,727,France,Female,29,1,146652.01,1,yes,yes,173486.39,no
Gratton,629,France,Male,31,6,0,2,yes,no,93881.75,no
Manning,684,France,Male,46,0,0,2,yes,yes,36376.97,no
Mazzi,549,Germany,Female,37,1,130622.34,2,yes,yes,128499.94,no
Wall,593,Germany,Male,69,2,187013.13,2,no,yes,105898.69,no
Sims,536,Spain,Male,40,9,0,2,yes,yes,11959.03,no
Allan,707,France,Female,36,6,0,1,no,no,98810.78,no
Griffen,592,Spain,Male,41,0,0,2,yes,no,65906.07,no
Russell,703,France,Male,44,6,98862.54,1,yes,no,151516.7,no
Brown,723,Spain,Female,45,4,0,2,yes,no,37214.39,no
Palerma,452,Germany,Male,52,1,98443.14,2,no,no,92033.98,no
Gilbert,552,Spain,Male,42,4,0,2,no,no,195692.3,no
Uvarov,633,France,Female,47,0,0,1,yes,yes,6342.84,yes
Wisdom,479,Germany,Female,23,9,123575.51,1,no,yes,95148.28,no
Hussain,768,France,Male,25,6,0,2,yes,yes,21215.67,no
Woods,742,France,Male,31,4,105239.1,1,yes,yes,19700.24,no
Cameron,668,Germany,Male,56,9,110993.79,1,yes,no,134396.64,yes
Mai,707,Spain,Male,44,3,0,2,yes,yes,135077.01,no
Gibson,754,Spain,Male,39,7,157691.98,2,yes,no,133600.89,yes
Grigoryeva,544,Germany,Male,47,5,105245.21,1,no,no,99922.08,yes
Gunter,718,Spain,Male,32,8,0,2,yes,yes,41399.33,no
Arcuri,762,France,Male,31,7,117687.35,1,yes,yes,159344.43,no
Tung,772,France,Male,23,2,0,2,yes,no,18364.19,no
Smith,691,Germany,Female,37,7,123067.63,1,yes,yes,98162.44,yes
Lori,502,France,Male,45,0,0,1,no,no,84663.21,no
Chidimma,563,France,Female,34,6,0,2,no,no,36536.93,no
Ting,676,France,Female,41,4,101457.14,1,yes,yes,79101.67,no
Tsao,576,Spain,Male,52,2,100549.43,2,yes,yes,16644.16,no
Collee,629,Spain,Male,35,4,174588.8,2,no,yes,158420.14,no
Lettiere,625,Spain,Male,52,8,121161.57,1,yes,no,48988.28,no
Fu,628,France,Male,45,9,0,2,yes,yes,96862.56,no
Bergamaschi,471,Germany,Female,36,5,90063.74,2,yes,yes,96366.7,no
Dyer,811,France,Female,45,5,0,2,yes,yes,146123.19,no
Buccho,504,France,Male,42,3,134936.97,2,no,no,135178.91,no
Jones,687,France,Female,24,3,110495.27,1,yes,no,158615.41,no
Nebechi,660,Germany,Female,37,2,133200.09,1,no,no,71433.88,no
Ibekwe,548,France,Female,41,4,82596.8,1,no,yes,55672.09,no
Gorshkov,609,Germany,Male,31,9,103837.75,1,yes,yes,150218.11,no
Nweke,659,Spain,Female,42,2,0,1,no,no,162734.31,yes
Hairston,526,France,Male,52,8,93590.47,1,no,yes,21228.71,yes
Loggia,725,Germany,Male,40,8,104149.66,1,yes,no,62027.9,no
Morgan,519,Germany,Male,38,1,114141.64,1,yes,yes,60988.21,yes
Abdulov,562,Germany,Female,31,9,117153,1,yes,yes,108675.01,no
Norris,482,Germany,Male,45,7,156353.46,1,yes,no,72643.95,yes
Clark,535,Spain,Male,37,3,175534.78,2,yes,yes,9241.52,no
Chukwudi,561,France,Female,27,9,135637,1,yes,no,153080.4,yes
Perkin,661,France,Female,30,7,0,2,yes,no,72196.57,no
Ch'ang,771,France,Male,27,2,0,2,yes,yes,199527.34,no
Kang,545,France,Male,26,7,0,2,no,yes,156598.23,no
Chukwudi,850,Germany,Female,33,2,83415.04,1,no,yes,74917.64,no
Frolova,601,Germany,Male,43,3,141859.12,2,yes,yes,111249.62,no
Chiu,712,Germany,Male,38,7,132767.66,2,yes,yes,59115.77,no
Simpson,589,France,Female,31,10,110635.32,1,yes,no,148218.86,no
McLean,600,Spain,Male,37,8,177657.35,1,yes,yes,77142.32,no
Hu,642,Germany,Male,41,4,157777.58,1,yes,no,67484.6,no
Savage,575,Germany,Male,47,9,107915.94,2,yes,yes,63452.18,yes
Wallace,570,Germany,Female,57,5,86568.75,1,no,yes,103660.31,no
Winter,532,Germany,Male,52,9,137755.76,1,yes,no,163191.99,yes
Ho,796,France,Male,30,2,137262.71,2,yes,no,62905.29,no
Su,833,Spain,Male,32,6,0,1,yes,yes,44323.22,yes
Li Fonti,642,Spain,Female,36,6,0,2,yes,yes,97938.59,no
Ives,655,France,Male,28,10,0,2,no,yes,126565.21,no
Trevisani,736,Germany,Male,50,9,116309.01,1,yes,no,185360.4,yes
Bond,617,France,Female,34,0,131244.65,2,yes,no,183229.02,no
Lettiere,762,Germany,Male,28,3,125155.83,2,yes,yes,106024.02,no
Houghton,703,Germany,Male,35,5,140691.08,2,yes,no,167810.26,no
Lei,507,France,Male,41,3,58820.32,2,yes,yes,138536.09,no
Stirling,581,Germany,Female,26,3,105099.45,1,yes,yes,184520,yes
Grant,593,France,Male,31,9,0,2,no,yes,20492.16,no
Baresi,648,France,Male,23,9,168372.52,1,yes,no,134676.72,no
Pearce,462,Germany,Male,34,1,94682.56,2,yes,no,138478.2,no
Rutledge,596,Spain,Male,36,2,0,2,no,yes,125557.95,no
Udegbunam,627,France,Female,44,5,0,2,yes,no,82969.61,yes
Zaytseva,494,France,Male,40,7,0,2,no,yes,158071.69,no
Onyemauchechukwu,627,France,Male,73,0,146329.73,1,no,yes,43615.67,no
Mullah,850,Spain,Male,37,2,0,2,yes,no,119969.99,no
Candler,632,France,Female,49,5,167962.7,1,no,no,140201.21,no
Konovalova,490,France,Male,33,1,0,2,yes,yes,80792.83,no
Lei,715,France,Male,40,7,0,1,yes,yes,141359.11,no
Hollis,679,France,Male,48,8,0,2,yes,no,23344.94,no
Lionel,619,France,Male,44,3,116967.68,1,yes,no,5075.17,yes
Francis,465,Spain,Female,33,6,0,2,yes,yes,95500.98,no
Carter,736,Spain,Male,32,7,0,1,no,yes,79082.62,no
Mai,501,Germany,Female,34,7,93244.42,1,no,yes,199805.63,no
Johnson,535,France,Female,29,5,0,2,no,yes,52709.55,no
Sherman,759,France,Female,33,2,0,2,yes,no,56583.88,no
Sabbatini,819,France,Male,35,1,0,2,no,yes,3385.04,no
Shih,533,Germany,Male,43,4,80442.06,2,no,yes,12537.42,no
Yao,632,Germany,Female,35,2,150561.03,2,no,no,64722.61,no
Ko,686,France,Male,60,9,0,3,yes,yes,75246.21,yes
Kazakova,687,France,Female,34,9,125474.44,1,yes,no,198929.84,no
Chiganu,667,Germany,Female,33,4,127076.68,2,yes,no,69011.66,no
Nucci,699,Spain,Female,25,8,0,2,yes,yes,52404.47,no
Marsden,497,Spain,Male,37,8,128650.11,2,yes,yes,163641.53,no
Serena,780,Spain,Female,33,6,145580.61,1,yes,yes,154598.56,no
McLean,652,France,Female,51,3,0,1,yes,no,173989.47,yes
Longo,477,France,Male,47,9,144900.58,1,yes,no,61315.37,yes
Wilson,652,France,Female,37,4,0,2,yes,no,143393.24,no
Hsiung,488,France,Female,31,8,97588.6,1,no,no,124210.53,no
Wright,572,France,Male,24,1,0,2,yes,yes,151460.84,no
Folliero,755,France,Female,38,1,0,2,yes,no,20734.81,no
Johnston,779,Germany,Female,24,10,122200.31,2,yes,no,43705.56,no
Palermo,693,Spain,Female,46,3,151709.33,1,yes,no,180736.24,no
Nwabugwu,530,Spain,Female,22,7,0,2,yes,no,104170.48,no
Endrizzi,738,Spain,Female,33,3,122134.4,2,no,yes,27867.59,no
Tuan,690,Germany,Male,31,2,137260.45,2,yes,no,55387.28,no
Udobata,611,France,Female,30,9,88594.14,1,yes,no,196332.45,no
Ibezimako,643,Spain,Male,34,6,0,2,yes,yes,116046.22,no
Maclean,632,Germany,Male,41,8,127205.32,4,yes,no,93874.87,yes
Shaw,727,Spain,Female,31,10,96997.09,2,no,no,76614.04,no
Cummins,508,France,Female,64,2,0,1,yes,yes,6076.62,no
Lavrentiev,550,France,Male,31,5,142200.19,2,yes,yes,122221.71,no
Saunders,754,Germany,Female,39,3,160761.41,1,yes,yes,24156.03,no
Fiorentino,759,France,Male,26,4,0,2,yes,no,135394.62,no
Knight,794,Spain,Male,33,8,0,2,no,no,91340.02,no
Manfrin,549,France,Male,29,3,0,2,yes,no,146090.38,no
Zetticci,671,France,Male,31,0,116234.61,1,yes,no,172096.08,no
Angelo,756,Germany,Female,26,5,155143.52,1,no,yes,135034.57,yes
Zhdanov,632,France,Female,21,1,0,2,yes,no,84008.66,no
Peck,579,France,Male,38,8,0,2,no,no,91763.67,no
Uwaezuoke,748,France,Male,34,5,84009.47,1,yes,yes,137001.1,no
White,488,Germany,Female,28,7,139246.22,2,yes,no,106799.49,no
Greco,710,Germany,Male,58,7,170113,2,no,yes,10494.64,no
Chu,619,Spain,Female,41,8,0,3,yes,yes,79866.73,yes
Kodilinyechukwu,773,France,Male,64,2,145578.28,1,no,yes,186172.85,no
Scott,657,Spain,Male,75,7,126273.95,1,no,yes,91673.6,no
Enyinnaya,579,France,Female,26,10,162482.76,1,yes,yes,18458.2,no
Hao,542,France,Male,29,9,0,1,yes,no,8342.35,no
McElhone,709,France,Female,32,2,87814.89,1,yes,no,138578.37,no
Ko,617,Spain,Male,61,3,113858.95,1,yes,yes,38129.22,no
Day,568,Germany,Male,43,5,87612.64,4,yes,yes,107155.4,yes
Harris,769,France,Female,73,1,0,1,yes,yes,29792.11,no
Gerald,608,Germany,Male,26,1,106648.98,1,no,yes,7063.6,no
Nebeuwa,503,Spain,Male,31,4,0,2,yes,yes,21645.06,no
Kaodilinakachukwu,608,Germany,Female,38,8,103653.51,2,yes,yes,137079.86,no
Maruff,731,Germany,Male,37,3,116880.53,1,no,no,172718.35,yes
Howe,850,Germany,Female,40,4,97990.49,2,no,no,106691.02,no
Knepper,591,Germany,Female,34,4,150635.3,1,yes,yes,72274.84,no
Fennell,579,Spain,Male,37,4,0,2,yes,yes,32246.63,no
T'ao,570,France,Male,39,10,129674.89,2,yes,no,80552.36,no
Morris,709,France,Female,37,9,0,2,yes,no,16733.59,no
Holmes,611,France,Male,53,3,83568.26,1,no,no,1235.49,no
Yu,775,Spain,Male,48,4,178144.91,2,no,no,50168.41,yes
Walker,699,Germany,Male,36,6,147137.74,1,yes,yes,33687.9,no
Edwards,618,France,Male,37,5,0,1,no,yes,178705.45,yes
Harvey,704,France,Male,36,3,114370.41,1,no,yes,66810.48,no
McDonald,835,Germany,Female,47,5,108289.28,2,yes,yes,45859.55,yes
Chambers,714,Germany,Male,39,3,149887.49,2,yes,no,63846.36,no
Reed,581,Spain,Female,43,4,170172.9,1,no,yes,100236.02,no
Shih,592,France,Male,27,3,0,2,yes,yes,19645.65,no
Onyemachukwu,551,France,Male,43,7,0,2,yes,no,178393.68,no
Teng,689,Germany,Female,28,2,64808.32,2,no,no,78591.15,no
Hand,604,France,Female,56,0,62732.65,1,no,yes,124954.56,no
Onyemauchechukwu,514,France,Female,41,7,0,2,yes,yes,3756.65,no
Bailey,698,France,Male,29,5,95167.55,1,yes,yes,152723.23,no
Chiang,581,Germany,Female,54,2,152508.99,1,yes,no,187597.98,yes
Maclean,573,Germany,Male,31,0,134644.19,1,yes,yes,70381.49,no
Yobachi,449,Spain,Female,33,8,0,2,no,no,156792.89,no
Munro,850,Germany,Female,31,3,51293.47,1,no,no,35534.68,no
Chidi,612,France,Male,41,5,0,3,no,no,151256.22,no
Chamberlain,690,Spain,Male,49,8,116622.73,1,no,yes,51011.29,no
Trujillo,599,Spain,Female,49,2,0,2,yes,no,111190.53,no
Tang,498,France,Male,33,1,198113.86,1,yes,no,69664.35,no
Wilson,497,France,Female,29,4,85646.81,1,no,no,63233.02,yes
Mann,802,Spain,Male,51,7,0,1,no,yes,40855.79,no
Parry,644,France,Male,33,9,141234.98,1,yes,no,95673.05,no
Manfrin,714,France,Male,34,10,0,2,yes,yes,80234.14,no
Millar,690,France,Female,40,9,77641.99,1,no,no,189051.59,yes
Simmons,522,Spain,Male,30,3,0,2,yes,no,145490.85,no
Beneventi,502,Germany,Female,40,7,117304.29,1,no,no,196278.32,no
Chung,730,Spain,Female,62,2,0,2,yes,yes,162889.1,no
Maxwell,590,Germany,Male,36,6,92340.69,2,yes,yes,174667.58,no
Dale,458,Germany,Male,35,9,146780.52,2,yes,yes,3476.38,no
Stevens,553,Spain,Male,41,6,144974.55,1,yes,yes,19344.92,no
Wei,479,France,Male,47,1,0,1,yes,no,95270.83,no
Chiu,693,France,Male,31,2,0,2,yes,yes,107759.31,no
Duncan,707,Spain,Male,43,10,0,2,yes,no,118368.2,no
Brady,636,Spain,Male,37,1,115137.26,1,yes,no,52484.01,no
Macleod,807,France,Male,33,10,101952.97,2,yes,no,178153.65,no
Berkeley,513,France,Female,45,0,164649.52,3,yes,no,49915.52,yes
Kaur,582,France,Male,31,2,0,2,yes,yes,33747.03,no
Bell,694,France,Male,32,0,91956.49,1,yes,yes,59961.81,no
Nwokike,777,France,Male,39,8,0,2,yes,yes,18613.52,no
Williamson,598,Germany,Male,32,9,123938.6,2,yes,no,198894.42,no
Mountgarrett,762,Germany,Male,46,6,123571.77,3,no,yes,57014.17,yes
Wreford,588,France,Female,34,3,120777.88,1,yes,yes,131729.52,no
Paterson,663,Germany,Male,42,5,90248.79,1,yes,yes,79169.73,no
Hou,777,France,Male,36,7,0,1,yes,no,106472.34,no
Smith,592,France,Male,71,4,0,2,no,yes,17013.54,no
Peng,631,Germany,Male,48,1,106396.48,1,yes,yes,150661.42,yes
Wollstonecraft,725,Germany,Female,47,1,104887.43,1,no,no,86622.56,yes
Bolton,850,France,Male,34,2,72079.71,1,yes,yes,115767.93,no
Corrie,540,France,Male,37,6,0,2,yes,no,141998.89,no
Boyle,674,Spain,Male,36,2,0,2,yes,yes,182787.17,no
Lambie,553,France,Male,38,3,99844.68,1,no,no,187915.7,no
Cartwright,630,France,Female,28,1,0,2,yes,yes,133267.78,no
Lu,466,France,Male,26,3,156815.71,1,yes,yes,137476.09,no
