Surname,Estimated Salary,Is Active Member,Credit Score,Geography,Gender,Age,Balance,Tenure,Number Of Products,Has Cr Card,Exited
Jideofor,77142.85,yes,709,France,Male,42,118546.71,9,1,no,no
Yevseyev,127804.66,yes,832,France,Male,61,0,2,1,no,yes
Smith,167179.48,yes,749,Spain,Female,43,124209.02,1,1,yes,no
Ogle,15404.64,yes,629,Spain,Male,32,0,3,2,yes,no
Moss,156036.19,yes,836,Spain,Female,41,150302.84,7,1,yes,no
Loggia,144725.14,yes,542,Spain,Male,34,108653.93,8,1,no,no
Nwankwo,22558.74,no,645,France,Female,45,85325.93,8,1,no,no
Allan,147342.03,no,844,France,Female,29,0,8,2,no,no
Woronoff,85470.45,no,747,Germany,Male,37,135776.36,9,3,yes,yes
Henderson,48505.1,yes,752,Spain,Female,36,0,3,2,yes,no
Sutherland,101491.23,no,760,Spain,Female,41,0,6,2,no,no
Marsden,164117.69,yes,714,Germany,Female,45,106431.97,9,2,yes,no
Hyde,124626.57,yes,717,France,Male,50,90305.76,9,1,yes,no
Kao,34490.06,yes,645,Germany,Male,28,117466.03,7,2,yes,no
T'ang,90967.37,yes,681,France,Male,32,148884.47,3,2,yes,no
Crawford,24208.84,no,681,Germany,Female,44,91115.76,4,2,no,yes
Dilibe,174873.09,yes,679,Germany,Female,37,77373.87,8,2,no,no
Austin,170262.97,no,528,Spain,Male,23,104744.89,7,1,yes,no
Santiago,112289.06,yes,710,France,Female,31,0,3,2,yes,no
Chibugo,93783,yes,733,Germany,Male,39,91538.51,5,1,yes,no
Toscano,150026.79,yes,724,France,Female,32,0,6,2,yes,no
Afanasyeva,102036.82,yes,726,France,Female,34,185734.75,0,1,yes,no
Sokolov,898.51,yes,520,France,Male,30,143396.54,3,2,yes,no
Wei,95124.4,yes,556,France,Male,40,125909.85,5,1,yes,no
Priestley,37092.43,no,570,France,Female,29,0,0,1,yes,no
MacDonald,169287.99,no,665,France,Male,35,110934.54,8,1,yes,no
Chukwumaobim,54439.53,no,706,Germany,Male,31,117020.08,1,2,yes,no
Ifeanacho,38186.85,no,619,France,Female,49,145359.99,9,1,yes,no
Ko,65758.19,yes,608,Spain,Male,66,123935.35,8,1,yes,no
Goloubev,97767.63,no,526,France,Female,36,0,0,2,yes,no
White,182059.28,no,636,Germany,Male,36,96643.32,6,1,no,no
Sinclair,128538.05,yes,669,Spain,Female,33,0,8,2,no,no
Fiorentini,108841.83,yes,624,France,Male,71,0,7,2,yes,no
Rapuokwu,146821.42,yes,753,France,Male,48,0,4,2,no,no
Woronoff,100727.68,no,588,France,Male,40,0,5,2,no,no
Holden,39356.38,no,729,Germany,Male,26,97268.1,4,2,yes,no
Roberts,169921.11,no,602,France,Female,42,0,10,2,no,yes
Tsou,42364.75,no,689,Germany,Female,55,76296.81,1,1,yes,yes
Somerville,28823.04,no,486,Spain,Male,27,0,7,2,yes,no
Greco,182436.81,yes,809,Germany,Female,42,64497.94,6,3,no,yes
Leonard,115700.2,no,562,France,Male,38,0,5,1,yes,no
McKenzie,16725.53,no,763,Spain,Female,32,0,8,2,yes,no
McElhone,56875.76,yes,669,France,Male,57,0,5,2,yes,no
Dipietro,56214.09,no,709,France,Male,39,0,8,2,yes,no
Kerr,193412.05,yes,554,Spain,Female,45,0,4,2,yes,no
Hunter,83263.04,no,699,France,Male,37,0,10,2,no,no
Niehaus,13404.4,yes,732,Spain,Male,54,134249.7,0,1,no,no
Barclay-Harvey,121124.53,yes,599,France,Male,30,105443.68,9,1,yes,no
Teng,152567.75,yes,584,Spain,Female,50,0,1,1,no,yes
Milani,10722.54,no,499,France,Male,35,0,10,2,yes,no
Mistry,58010.98,no,526,Spain,Male,38,0,2,2,no,no
Jamieson,163440.8,no,625,Germany,Female,35,86147.46,5,2,yes,yes
Kay,102606.92,yes,537,Spain,Female,38,96939.06,1,1,yes,no
Ikedinachukwu,80591.18,yes,696,Spain,Male,47,106758.6,1,1,yes,no
Holt,177362.45,no,679,France,Female,33,112528.65,9,2,yes,no
Hartung,180622.02,yes,850,France,Male,32,0,4,1,yes,no
Ch'en,130404.53,no,495,Spain,Female,42,0,7,2,no,no
Baker,147797.54,yes,537,Spain,Female,38,141786.78,6,1,no,no
Osinachi,57844.26,yes,850,France,Male,41,136416.82,3,1,no,no
Shih,162523.66,no,513,France,Male,30,0,5,2,yes,no
Feng,54495.82,yes,618,Germany,Female,40,133245.52,1,2,yes,no
Sternberg,169183.66,yes,802,Germany,Female,41,90757.64,4,2,no,no
Adams,80262.91,yes,547,France,Male,43,92350.36,1,1,no,no
Gray,8751.59,yes,613,Germany,Male,69,78778.49,9,1,no,no
Shepherd,102628.98,yes,592,Germany,Female,34,102143.93,6,2,yes,no
Walton,94823.95,yes,546,France,Male,29,0,5,1,yes,no
Yang,90821.66,no,721,Germany,Male,37,98459.6,4,1,no,no
Barnett,153194.32,no,671,Germany,Female,47,114603.76,7,2,yes,yes
Romani,87310.59,no,624,Spain,Male,35,0,2,2,yes,no
Greene,146411.41,no,751,Germany,Female,51,148074.79,7,1,yes,yes
Hart,74048.1,yes,636,Spain,Male,36,0,1,3,yes,yes
Johnston,23386.77,yes,607,Spain,Female,62,108004.64,8,1,yes,yes
Miller,92898.17,yes,509,Germany,Female,29,107712.57,0,2,yes,no
Robson,45956.05,yes,653,Spain,Male,35,0,9,2,yes,no
Wallace,71738.56,no,709,Spain,Female,37,0,8,3,yes,no
Marcum,52367.29,yes,684,Germany,Male,37,138476.41,4,2,yes,no
North,152916.05,yes,635,France,Female,27,127471.56,8,1,yes,yes
Mao,4410.77,yes,709,France,Male,26,156551.63,6,1,no,no
Calabrese,74771.22,no,656,Germany,Female,49,97092.87,9,1,yes,yes
Martin,193817.63,no,793,France,Male,32,0,2,2,yes,yes
Fleming,26793.82,yes,609,Spain,Male,37,129312.79,5,1,yes,no
Roberts,32526.64,yes,618,Germany,Female,29,100315.1,10,2,yes,no
Finch,824,no,850,France,Female,35,81684.97,6,1,yes,no
Whitelegge,85250.77,no,669,Spain,Male,51,88827.53,3,1,no,yes
Rooke,83508.93,yes,594,Germany,Male,40,152092.44,0,2,yes,no
Lu,173599.38,yes,616,Spain,Male,71,0,4,2,yes,no
Marcelo,79342.31,no,676,France,Female,49,0,1,1,yes,yes
Romani,56191.99,yes,710,France,Male,21,109130.96,4,2,yes,no
Scott,6770.44,yes,695,France,Male,29,0,5,2,yes,no
Mao,101694.67,yes,530,Germany,Male,33,75242.28,9,1,no,no
Horsley,69113.14,no,509,Spain,Male,29,0,1,2,yes,no
Goddard,172674.36,no,517,France,Female,45,0,4,1,no,yes
Eskridge,26606.28,yes,758,Germany,Male,33,129142.54,0,2,yes,no
Smith,53353.36,no,665,France,Male,51,0,2,1,no,no
Simpson,63747.51,yes,631,Germany,Female,22,139129.92,6,1,yes,no
Oguejiofor,190112.05,yes,576,Spain,Male,33,0,3,2,no,no
Holloway,110317.39,yes,544,Spain,Male,22,66483.32,3,1,no,no
L?,148623.43,no,596,Germany,Male,40,62389.03,5,3,yes,yes
Feng,125253.46,yes,481,France,Female,34,0,5,2,yes,no
Claiborne,101954.78,no,498,France,Male,46,91857.66,1,1,yes,yes
Folliero,26215.85,no,594,France,Female,56,0,7,1,yes,yes
Bray,97045.32,no,570,France,Female,30,176173.52,10,1,yes,yes
Ibrahimov,53534.8,yes,721,Spain,Male,38,0,7,1,no,no
Woods,140745.91,yes,682,France,Male,40,0,4,2,yes,no
Wu,171515.84,no,748,France,Male,40,95297.11,3,1,no,no
Lynch,76884.05,no,663,France,Male,39,0,4,1,yes,no
Amaechi,170454.93,yes,735,France,Female,53,123845.36,8,2,no,yes
Enriquez,143104.3,yes,627,Germany,Male,62,143426.34,3,2,yes,no
Y?an,55701.62,yes,713,France,Male,46,0,5,1,yes,no
Wang,24275.32,no,632,France,Male,43,100013.51,2,1,yes,no
Meng,154279.87,yes,658,Spain,Male,21,0,7,2,no,no
Chiganu,68462.59,no,598,France,Female,40,0,9,1,yes,yes
Hunt,91036.74,yes,597,France,Male,19,0,2,2,yes,no
Lucchese,83681.97,yes,512,France,Female,33,121685.31,6,2,yes,no
Frolova,152491.22,no,474,France,Male,26,0,6,2,no,no
Hsing,134875.37,yes,604,Germany,Male,36,113546.3,10,1,yes,no
Parkes,184366.14,yes,683,France,Male,41,95696.52,6,2,yes,no
Obiuto,175643.44,yes,794,Spain,Male,31,144880.34,0,2,no,no
Longo,3268.17,yes,732,France,Male,55,136576.02,9,1,no,yes
Lombardo,47089.72,yes,495,France,Female,38,63093.01,2,1,yes,no
Lombardo,46562.02,yes,552,Germany,Male,38,132271.12,10,2,yes,no
Gonzalez,62487.97,yes,602,France,Female,29,88814.4,3,2,yes,no
Nwabugwu,181598.25,yes,607,Germany,Male,40,90594.55,5,1,no,no
Ford,64815.05,no,675,Germany,Female,33,141816.25,0,1,yes,yes
Gilleland,70196.23,yes,443,France,Female,54,138547.97,3,1,yes,yes
Kao,35848.12,no,482,France,Male,38,124976.19,4,1,yes,no
Wilson,94498.82,no,588,Germany,Male,35,104356.38,3,1,yes,no
Doyne,133486.36,yes,605,Spain,Female,48,150315.92,10,1,no,no
Onwuamaeze,73107.6,no,583,France,Male,39,129299.28,1,2,yes,no
K'ung,195333.98,no,738,Germany,Male,37,140950.92,7,2,yes,no
O'Donnell,121525.48,no,744,Spain,Male,30,128065.12,1,1,yes,no
McMillan,173843.21,no,781,France,Male,23,107433.48,2,1,yes,no
Chinedum,185227.42,no,699,France,Male,34,117468.67,2,1,yes,no
Capon,125244.18,no,639,France,Female,27,0,2,2,no,no
Duncan,123006.91,no,587,France,Male,42,0,1,1,no,no
Balsillie,188305.85,no,692,Germany,Male,45,142084.04,6,4,yes,yes
Kerr,143994.86,no,511,France,Female,30,0,5,2,yes,no
Worsnop,89368.59,no,788,France,Male,32,112079.58,4,1,no,no
Yevseyev,158365.89,yes,526,Spain,Male,66,132044.6,7,2,yes,no
Siciliani,100408.31,yes,691,France,Female,33,0,6,2,yes,no
Bazarova,39570.78,yes,752,France,Male,33,0,4,2,yes,no
White,155665.76,no,658,France,Female,38,102895.1,6,1,no,no
Buda,168294.27,yes,679,Spain,Male,42,0,2,1,yes,no
Cattaneo,87908.01,yes,754,Germany,Male,27,117578.35,7,2,no,no
Brown,191207.03,no,633,Spain,Female,39,0,2,2,no,no
Rose,128954.05,no,674,France,Female,31,0,1,1,yes,no
Lombardo,59905.29,yes,600,Germany,Male,28,116623.31,2,1,no,no
McMillan,162012.6,no,645,Spain,Male,49,0,8,2,yes,no
Howe,19231.98,yes,698,France,Male,36,0,6,2,no,no
Han,60533.96,no,555,France,Female,44,105770.7,3,3,yes,yes
Calabrese,137508.42,no,751,France,Female,48,0,9,1,yes,yes
Riley,189430.86,yes,738,France,Female,39,94435.45,1,2,no,no
Biryukov,6723.66,yes,706,Germany,Female,39,112889.91,8,1,no,no
Broadhurst,41371.68,no,595,France,Female,53,0,7,2,yes,yes
Genovesi,125140.72,no,577,Germany,Female,43,127940.47,3,1,no,yes
Kemp,170770.44,yes,699,France,Male,32,0,3,2,yes,no
Chukwudi,157397.57,yes,826,France,Female,30,0,5,2,no,no
Iqbal,50595.15,no,656,Germany,Female,46,141535.52,7,1,yes,yes
Teng,50390.98,yes,556,France,Female,47,139914.27,2,1,yes,no
Chinedum,138280.17,no,765,France,Male,34,91835.16,9,1,no,no
Duncan,163534.75,yes,588,Spain,Female,22,67178.19,9,1,yes,yes
Yao,162087.82,yes,850,Spain,Male,38,115378.94,7,1,no,no
He,28879.3,yes,766,Germany,Male,30,127786.28,4,2,yes,no
Mazzi,169203.51,yes,849,France,Female,41,0,6,2,yes,yes
Lucchesi,54676.1,no,517,Germany,Male,53,109172.88,0,1,yes,yes
Siciliani,18369.33,yes,645,France,Female,55,0,7,2,yes,no
Shih,159888.1,yes,696,Germany,Male,43,114091.38,4,1,no,no
Logue,167636.15,yes,716,France,Female,40,0,3,2,no,no
Rechner,138889.15,no,590,France,Male,32,0,9,2,yes,no
O'Brien,199392.14,yes,656,France,Female,45,145933.27,7,1,yes,no
Stewart,189560.43,no,473,Germany,Female,35,131504.73,7,1,yes,no
Batt,17375.27,yes,742,Germany,Female,44,107926.02,8,1,no,yes
Hope,140225.14,no,834,Germany,Female,57,112281.6,8,3,yes,yes
Ahmed,61018.85,yes,721,France,Male,41,0,7,2,no,no
Pearson,51907.72,yes,590,Spain,Male,29,0,10,1,yes,yes
Kruglov,47018.75,no,516,Spain,Female,31,0,7,1,yes,no
Gordon,33700.52,yes,850,France,Male,33,124781.67,0,1,no,no
Pagnotto,157147.59,no,798,Germany,Female,38,129055.13,4,1,yes,no
DeRose,199862.75,yes,540,France,Female,40,165298.12,3,1,no,no
Gill,30635.52,no,598,France,Male,48,120682.53,6,1,yes,yes
Morrison,22497.1,yes,579,Germany,Male,42,144386.32,0,1,yes,yes
Ikenna,76870.81,no,599,Spain,Male,35,137102.65,6,1,no,no
Mancini,107848.24,yes,724,France,Female,30,142475.87,9,1,yes,no
Ting,178268.36,no,773,Spain,Male,37,103195.2,2,2,yes,no
Tai,126281.83,yes,526,France,Male,28,112070.44,1,1,no,no
Pan,196651.72,yes,542,France,Female,29,0,7,2,no,no
Wilson,5962.3,no,470,France,Male,35,96473.59,1,1,no,no
Bianchi,21928.81,no,805,Spain,Male,37,0,5,2,yes,no
Holman,127022.87,no,548,Germany,Male,49,108437.89,9,1,no,yes
Obidimkpa,162763.01,yes,672,France,Male,37,153195.59,5,1,yes,no
Ku,52337.97,no,537,France,Female,38,0,10,1,no,yes
Shih,83753.64,no,586,Spain,Male,41,63873.56,3,1,yes,no
Kumm,182913.95,no,677,France,Female,24,148298.59,0,2,no,no
Calabrese,180241.44,yes,655,Germany,Male,37,121342.24,9,1,yes,no
Findlay,48475.12,no,619,Germany,Female,28,99152.73,6,2,yes,no
Yu,126551.48,no,662,France,Female,41,0,4,2,yes,no
Brown,98031.53,no,527,Spain,Female,35,0,8,1,yes,yes
Lindon,93524.22,no,630,Germany,Female,25,79656.81,7,1,yes,no
Chukwudi,56991.66,yes,850,France,Male,35,0,2,2,yes,no
Caldwell,183980.56,no,668,France,Female,53,110240.04,10,1,no,yes
Li Fonti,130234.63,yes,573,France,Female,32,125321.84,9,2,yes,no
Pitcher,32454.26,no,680,France,Male,27,0,3,1,yes,no
Capon,75396.43,yes,758,France,Female,32,84378.9,2,1,yes,no
Lo Duca,24799.47,yes,580,Germany,Male,35,136281.41,10,2,yes,no
Kulikova,60429.43,yes,622,France,Male,59,119380.37,5,1,yes,no
Massie,25136.95,yes,629,France,Female,37,99546.25,10,3,no,yes
H?,47856.78,no,701,France,Female,41,0,2,1,yes,no
Doyle,4491.77,yes,708,Spain,Male,19,112615.86,7,1,yes,no
Grant,101311.95,yes,521,Spain,Female,22,0,10,1,yes,no
King,26817.23,no,529,France,Female,31,0,5,2,yes,no
Onwubiko,199727.72,yes,757,France,Male,28,75381.15,3,1,yes,no
Romano,67445.85,yes,767,Spain,Female,24,0,5,2,yes,no
Okwudilichukwu,161002.29,no,525,Spain,Male,33,0,5,2,yes,no
Milano,20778.39,no,759,Spain,Male,38,0,1,2,yes,no
Parker,41042.4,yes,520,Germany,Female,45,123086.39,1,1,yes,yes
Aitken,67484.16,no,738,France,Female,26,0,3,2,yes,no
Obiora,121763.68,no,548,Spain,Male,37,0,4,1,yes,no
Vasilyeva,157358.43,no,535,Spain,Male,48,109472.47,9,1,yes,yes
Chiabuotu,110275.17,yes,615,Spain,Male,59,155766.05,4,1,yes,no
Slater,43801.27,no,850,Germany,Male,38,101985.81,7,2,no,no
Hughes,9085,no,487,France,Female,34,96019.5,2,1,no,no
Pisani,100556.98,yes,726,Spain,Female,35,0,9,2,no,no
Y?an,140000.29,no,609,France,Female,35,147900.43,2,1,yes,no
Chin,133570.43,no,694,Spain,Female,35,0,7,1,yes,yes
Fu,154990.58,yes,786,France,Female,33,83036.05,0,1,no,yes
Howells,27654.44,no,698,Spain,Male,27,125427.37,6,2,no,no
Ni,137763.93,no,601,France,Female,46,98202.76,3,1,no,no
Maslova,25723.73,no,769,Spain,Male,41,72509.91,1,1,yes,no
Forster,186285.52,yes,850,Germany,Male,44,140393.65,3,2,no,no
Sun,142208.5,yes,646,Spain,Female,50,142644.64,5,2,yes,yes
Bocharova,169862.01,yes,659,France,Female,44,23503.31,9,1,no,yes
Y?an,41365.85,no,487,Spain,Male,33,145729.71,8,1,yes,no
Singh,30812.84,yes,740,Germany,Female,40,122295.17,2,2,yes,no
Chiemenam,159416.58,no,612,Spain,Female,36,119799.27,5,2,yes,no
Angelo,76259.23,no,655,Spain,Male,37,163708.58,8,2,no,no
Frolov,105965.25,no,617,France,Male,34,61687.33,1,2,yes,no
West,50743.83,yes,674,France,Female,27,79144.34,4,1,no,no
Beatham,147720.27,yes,711,Spain,Male,32,0,5,2,yes,no
Pollard,167387.36,yes,624,Germany,Female,27,104848.68,7,1,yes,no
Hsing,95159.13,yes,597,Spain,Male,26,0,5,2,no,no
Dowse,4654.28,yes,682,Spain,Male,46,0,4,1,yes,no
Lucciano,130376.68,no,775,France,Male,45,0,8,1,yes,no
Godfrey,173486.39,yes,727,France,Female,29,146652.01,1,1,yes,no
Manning,36376.97,yes,684,France,Male,46,0,0,2,yes,no
Mazzi,128499.94,yes,549,Germany,Female,37,130622.34,1,2,yes,no
Wall,105898.69,yes,593,Germany,Male,69,187013.13,2,2,no,no
Sims,11959.03,yes,536,Spain,Male,40,0,9,2,yes,no
Allan,98810.78,no,707,France,Female,36,0,6,1,no,no
Russell,151516.7,no,703,France,Male,44,98862.54,6,1,yes,no
Palerma,92033.98,no,452,Germany,Male,52,98443.14,1,2,no,no
Gilbert,195692.3,no,552,Spain,Male,42,0,4,2,no,no
Uvarov,6342.84,yes,633,France,Female,47,0,0,1,yes,yes
Woods,19700.24,yes,742,France,Male,31,105239.1,4,1,yes,no
Cameron,134396.64,no,668,Germany,Male,56,110993.79,9,1,yes,yes
Gibson,133600.89,no,754,Spain,Male,39,157691.98,7,2,yes,yes
Grigoryeva,99922.08,no,544,Germany,Male,47,105245.21,5,1,no,yes
Gunter,41399.33,yes,718,Spain,Male,32,0,8,2,yes,no
Tung,18364.19,no,772,France,Male,23,0,2,2,yes,no
Smith,98162.44,yes,691,Germany,Female,37,123067.63,7,1,yes,yes
Chidimma,36536.93,no,563,France,Female,34,0,6,2,no,no
Collee,158420.14,yes,629,Spain,Male,35,174588.8,4,2,no,no
Bergamaschi,96366.7,yes,471,Germany,Female,36,90063.74,5,2,yes,no
Buccho,135178.91,no,504,France,Male,42,134936.97,3,2,no,no
Jones,158615.41,no,687,France,Female,24,110495.27,3,1,yes,no
Nebechi,71433.88,no,660,Germany,Female,37,133200.09,2,1,no,no
Gorshkov,150218.11,yes,609,Germany,Male,31,103837.75,9,1,yes,no
Loggia,62027.9,no,725,Germany,Male,40,104149.66,8,1,yes,no
Abdulov,108675.01,yes,562,Germany,Female,31,117153,9,1,yes,no
Norris,72643.95,no,482,Germany,Male,45,156353.46,7,1,yes,yes
Clark,9241.52,yes,535,Spain,Male,37,175534.78,3,2,yes,no
Chukwudi,153080.4,no,561,France,Female,27,135637,9,1,yes,yes
Perkin,72196.57,no,661,France,Female,30,0,7,2,yes,no
Ch'ang,199527.34,yes,771,France,Male,27,0,2,2,yes,no
Kang,156598.23,yes,545,France,Male,26,0,7,2,no,no
Chukwudi,74917.64,yes,850,Germany,Female,33,83415.04,2,1,no,no
Frolova,111249.62,yes,601,Germany,Male,43,141859.12,3,2,yes,no
Chiu,59115.77,yes,712,Germany,Male,38,132767.66,7,2,yes,no
Simpson,148218.86,no,589,France,Female,31,110635.32,10,1,yes,no
McLean,77142.32,yes,600,Spain,Male,37,177657.35,8,1,yes,no
Hu,67484.6,no,642,Germany,Male,41,157777.58,4,1,yes,no
Savage,63452.18,yes,575,Germany,Male,47,107915.94,9,2,yes,yes
Wallace,103660.31,yes,570,Germany,Female,57,86568.75,5,1,no,no
Winter,163191.99,no,532,Germany,Male,52,137755.76,9,1,yes,yes
Su,44323.22,yes,833,Spain,Male,32,0,6,1,yes,yes
Ives,126565.21,yes,655,France,Male,28,0,10,2,no,no
Trevisani,185360.4,no,736,Germany,Male,50,116309.01,9,1,yes,yes
Houghton,167810.26,no,703,Germany,Male,35,140691.08,5,2,yes,no
Lei,138536.09,yes,507,France,Male,41,58820.32,3,2,yes,no
Stirling,184520,yes,581,Germany,Female,26,105099.45,3,1,yes,yes
Grant,20492.16,yes,593,France,Male,31,0,9,2,no,no
Baresi,134676.72,no,648,France,Male,23,168372.52,9,1,yes,no
Pearce,138478.2,no,462,Germany,Male,34,94682.56,1,2,yes,no
Rutledge,125557.95,yes,596,Spain,Male,36,0,2,2,no,no
Udegbunam,82969.61,no,627,France,Female,44,0,5,2,yes,yes
Zaytseva,158071.69,yes,494,France,Male,40,0,7,2,no,no
Mullah,119969.99,no,850,Spain,Male,37,0,2,2,yes,no
Candler,140201.21,no,632,France,Female,49,167962.7,5,1,no,no
Konovalova,80792.83,yes,490,France,Male,33,0,1,2,yes,no
Lei,141359.11,yes,715,France,Male,40,0,7,1,yes,no
Lionel,5075.17,no,619,France,Male,44,116967.68,3,1,yes,yes
Francis,95500.98,yes,465,Spain,Female,33,0,6,2,yes,no
Carter,79082.62,yes,736,Spain,Male,32,0,7,1,no,no
Mai,199805.63,yes,501,Germany,Female,34,93244.42,7,1,no,no
Johnson,52709.55,yes,535,France,Female,29,0,5,2,no,no
Sabbatini,3385.04,yes,819,France,Male,35,0,1,2,no,no
Shih,12537.42,yes,533,Germany,Male,43,80442.06,4,2,no,no
Ko,75246.21,yes,686,France,Male,60,0,9,3,yes,yes
Kazakova,198929.84,no,687,France,Female,34,125474.44,9,1,yes,no
Chiganu,69011.66,no,667,Germany,Female,33,127076.68,4,2,yes,no
Serena,154598.56,yes,780,Spain,Female,33,145580.61,6,1,yes,no
McLean,173989.47,no,652,France,Female,51,0,3,1,yes,yes
Longo,61315.37,no,477,France,Male,47,144900.58,9,1,yes,yes
Hsiung,124210.53,no,488,France,Female,31,97588.6,8,1,no,no
Wright,151460.84,yes,572,France,Male,24,0,1,2,yes,no
Folliero,20734.81,no,755,France,Female,38,0,1,2,yes,no
Johnston,43705.56,no,779,Germany,Female,24,122200.31,10,2,yes,no
Nwabugwu,104170.48,no,530,Spain,Female,22,0,7,2,yes,no
Endrizzi,27867.59,yes,738,Spain,Female,33,122134.4,3,2,no,no
Tuan,55387.28,no,690,Germany,Male,31,137260.45,2,2,yes,no
Udobata,196332.45,no,611,France,Female,30,88594.14,9,1,yes,no
Ibezimako,116046.22,yes,643,Spain,Male,34,0,6,2,yes,no
Maclean,93874.87,no,632,Germany,Male,41,127205.32,8,4,yes,yes
Cummins,6076.62,yes,508,France,Female,64,0,2,1,yes,no
Lavrentiev,122221.71,yes,550,France,Male,31,142200.19,5,2,yes,no
Fiorentino,135394.62,no,759,France,Male,26,0,4,2,yes,no
Knight,91340.02,no,794,Spain,Male,33,0,8,2,no,no
Manfrin,146090.38,no,549,France,Male,29,0,3,2,yes,no
Zetticci,172096.08,no,671,France,Male,31,116234.61,0,1,yes,no
Angelo,135034.57,yes,756,Germany,Female,26,155143.52,5,1,no,yes
Zhdanov,84008.66,no,632,France,Female,21,0,1,2,yes,no
Peck,91763.67,no,579,France,Male,38,0,8,2,no,no
Uwaezuoke,137001.1,yes,748,France,Male,34,84009.47,5,1,yes,no
White,106799.49,no,488,Germany,Female,28,139246.22,7,2,yes,no
Greco,10494.64,yes,710,Germany,Male,58,170113,7,2,no,no
Chu,79866.73,yes,619,Spain,Female,41,0,8,3,yes,yes
Kodilinyechukwu,186172.85,yes,773,France,Male,64,145578.28,2,1,no,no
Scott,91673.6,yes,657,Spain,Male,75,126273.95,7,1,no,no
Enyinnaya,18458.2,yes,579,France,Female,26,162482.76,10,1,yes,no
Hao,8342.35,no,542,France,Male,29,0,9,1,yes,no
McElhone,138578.37,no,709,France,Female,32,87814.89,2,1,yes,no
Ko,38129.22,yes,617,Spain,Male,61,113858.95,3,1,yes,no
Day,107155.4,yes,568,Germany,Male,43,87612.64,5,4,yes,yes
Harris,29792.11,yes,769,France,Female,73,0,1,1,yes,no
Gerald,7063.6,yes,608,Germany,Male,26,106648.98,1,1,no,no
Nebeuwa,21645.06,yes,503,Spain,Male,31,0,4,2,yes,no
Kaodilinakachukwu,137079.86,yes,608,Germany,Female,38,103653.51,8,2,yes,no
Maruff,172718.35,no,731,Germany,Male,37,116880.53,3,1,no,yes
Howe,106691.02,no,850,Germany,Female,40,97990.49,4,2,no,no
Knepper,72274.84,yes,591,Germany,Female,34,150635.3,4,1,yes,no
Fennell,32246.63,yes,579,Spain,Male,37,0,4,2,yes,no
T'ao,80552.36,no,570,France,Male,39,129674.89,10,2,yes,no
Morris,16733.59,no,709,France,Female,37,0,9,2,yes,no
Holmes,1235.49,no,611,France,Male,53,83568.26,3,1,no,no
Yu,50168.41,no,775,Spain,Male,48,178144.91,4,2,no,yes
Walker,33687.9,yes,699,Germany,Male,36,147137.74,6,1,yes,no
Edwards,178705.45,yes,618,France,Male,37,0,5,1,no,yes
Harvey,66810.48,yes,704,France,Male,36,114370.41,3,1,no,no
Chambers,63846.36,no,714,Germany,Male,39,149887.49,3,2,yes,no
Reed,100236.02,yes,581,Spain,Female,43,170172.9,4,1,no,no
Onyemachukwu,178393.68,no,551,France,Male,43,0,7,2,yes,no
Teng,78591.15,no,689,Germany,Female,28,64808.32,2,2,no,no
Onyemauchechukwu,3756.65,yes,514,France,Female,41,0,7,2,yes,no
Bailey,152723.23,yes,698,France,Male,29,95167.55,5,1,yes,no
Chiang,187597.98,no,581,Germany,Female,54,152508.99,2,1,yes,yes
Yobachi,156792.89,no,449,Spain,Female,33,0,8,2,no,no
Munro,35534.68,no,850,Germany,Female,31,51293.47,3,1,no,no
Chamberlain,51011.29,yes,690,Spain,Male,49,116622.73,8,1,no,no
Trujillo,111190.53,no,599,Spain,Female,49,0,2,2,yes,no
Tang,69664.35,no,498,France,Male,33,198113.86,1,1,yes,no
Wilson,63233.02,no,497,France,Female,29,85646.81,4,1,no,yes
Mann,40855.79,yes,802,Spain,Male,51,0,7,1,no,no
Parry,95673.05,no,644,France,Male,33,141234.98,9,1,yes,no
Manfrin,80234.14,yes,714,France,Male,34,0,10,2,yes,no
Millar,189051.59,no,690,France,Female,40,77641.99,9,1,no,yes
Simmons,145490.85,no,522,Spain,Male,30,0,3,2,yes,no
Beneventi,196278.32,no,502,Germany,Female,40,117304.29,7,1,no,no
Chung,162889.1,yes,730,Spain,Female,62,0,2,2,yes,no
Maxwell,174667.58,yes,590,Germany,Male,36,92340.69,6,2,yes,no
Dale,3476.38,yes,458,Germany,Male,35,146780.52,9,2,yes,no
Stevens,19344.92,yes,553,Spain,Male,41,144974.55,6,1,yes,no
Wei,95270.83,no,479,France,Male,47,0,1,1,yes,no
Duncan,118368.2,no,707,Spain,Male,43,0,10,2,yes,no
Brady,52484.01,no,636,Spain,Male,37,115137.26,1,1,yes,no
Macleod,178153.65,no,807,France,Male,33,101952.97,10,2,yes,no
Berkeley,49915.52,no,513,France,Female,45,164649.52,0,3,yes,yes
Bell,59961.81,yes,694,France,Male,32,91956.49,0,1,yes,no
Nwokike,18613.52,yes,777,France,Male,39,0,8,2,yes,no
Williamson,198894.42,no,598,Germany,Male,32,123938.6,9,2,yes,no
Paterson,79169.73,yes,663,Germany,Male,42,90248.79,5,1,yes,no
Hou,106472.34,no,777,France,Male,36,0,7,1,yes,no
Smith,17013.54,yes,592,France,Male,71,0,4,2,no,no
Wollstonecraft,86622.56,no,725,Germany,Female,47,104887.43,1,1,no,yes
